TRANSACTION_ID,SALE_DATE,YEAR,MONTH,MONTH_NAME,MODEL,SEGMENT,FUEL_TYPE,REGION,DEALER,BASE_PRICE,DISCOUNT_AMOUNT,SELLING_PRICE,COST_PRICE,GROSS_PROFIT,GROSS_MARGIN_PCT,UNITS_SOLD
VA20240100016,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18085.0,584735.0,480000,104735.0,17.91,1
VA20240100017,11-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18080.0,584599.0,480000,104599.0,17.89,1
VA20240100018,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17645.0,570525.0,480000,90525.0,15.87,1
VA20240100019,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17657.0,570897.0,480000,90897.0,15.92,1
VA20240100020,04-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18018.0,582577.0,480000,102577.0,17.61,1
VA20240100021,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17928.0,579669.0,480000,99669.0,17.19,1
VA20240100022,12-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17674.0,571446.0,480000,91446.0,16.0,1
VA20240100023,20-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18341.0,593029.0,480000,113029.0,19.06,1
VA20240100024,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17808.0,575779.0,480000,95779.0,16.63,1
VA20240100025,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17705.0,572469.0,480000,92469.0,16.15,1
VA20240100026,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18085.0,584756.0,480000,104756.0,17.91,1
VA20240100027,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17915.0,579264.0,480000,99264.0,17.14,1
VA20240100028,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18348.0,593250.0,480000,113250.0,19.09,1
VA20240100029,27-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17976.0,581226.0,480000,101226.0,17.42,1
VA20240100030,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18259.0,590379.0,480000,110379.0,18.7,1
VA20240100031,19-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18130.0,586198.0,480000,106198.0,18.12,1
VA20240100032,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17964.0,580848.0,480000,100848.0,17.36,1
VA20240100033,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17650.0,570669.0,480000,90669.0,15.89,1
VA20240100034,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18318.0,592294.0,480000,112294.0,18.96,1
VA20240100035,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18046.0,583473.0,480000,103473.0,17.73,1
VA20240100036,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17917.0,579332.0,480000,99332.0,17.15,1
VA20240100037,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17651.0,570732.0,480000,90732.0,15.9,1
VA20240100038,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17806.0,575735.0,480000,95735.0,16.63,1
VA20240100039,06-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17814.0,575971.0,480000,95971.0,16.66,1
VA20240100040,12-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18132.0,586266.0,480000,106266.0,18.13,1
VA20240100041,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18079.0,584561.0,480000,104561.0,17.89,1
VA20240100042,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18240.0,589757.0,480000,109757.0,18.61,1
VA20240100043,20-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17765.0,574396.0,480000,94396.0,16.43,1
VA20240100044,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17922.0,579464.0,480000,99464.0,17.16,1
VA20240100045,06-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17771.0,574602.0,480000,94602.0,16.46,1
VA20240100046,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18184.0,587945.0,480000,107945.0,18.36,1
VA20240100047,21-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17946.0,580258.0,480000,100258.0,17.28,1
VA20240100048,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17790.0,575201.0,480000,95201.0,16.55,1
VA20240100049,27-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18049.0,583576.0,480000,103576.0,17.75,1
VA20240100050,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17663.0,571089.0,480000,91089.0,15.95,1
VA20240100051,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18246.0,589968.0,480000,109968.0,18.64,1
VA20240100052,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17964.0,580830.0,480000,100830.0,17.36,1
VA20240100053,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17925.0,579559.0,480000,99559.0,17.18,1
VA20240100054,19-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18307.0,591933.0,480000,111933.0,18.91,1
VA20240100055,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18164.0,587291.0,480000,107291.0,18.27,1
VA20240100056,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17875.0,577962.0,480000,97962.0,16.95,1
VA20240100057,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18051.0,583640.0,480000,103640.0,17.76,1
VA20240100058,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18015.0,582485.0,480000,102485.0,17.59,1
VA20240100059,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18332.0,592736.0,480000,112736.0,19.02,1
VA20240100060,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18248.0,590021.0,480000,110021.0,18.65,1
VA20240100061,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18178.0,587758.0,480000,107758.0,18.33,1
VA20240100062,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18029.0,582924.0,480000,102924.0,17.66,1
VA20240100063,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18062.0,584020.0,480000,104020.0,17.81,1
VA20240100064,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18335.0,592831.0,480000,112831.0,19.03,1
VA20240100065,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18077.0,584492.0,480000,104492.0,17.88,1
VA20240100066,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17839.0,576785.0,480000,96785.0,16.78,1
VA20240100067,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17853.0,577257.0,480000,97257.0,16.85,1
VA20240100068,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17759.0,574207.0,480000,94207.0,16.41,1
VA20240100069,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17651.0,570724.0,480000,90724.0,15.9,1
VA20240100070,20-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17945.0,580217.0,480000,100217.0,17.27,1
VA20240100071,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17924.0,579553.0,480000,99553.0,17.18,1
VA20240100072,20-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17851.0,577192.0,480000,97192.0,16.84,1
VA20240100073,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17650.0,570688.0,480000,90688.0,15.89,1
VA20240100074,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17783.0,574989.0,480000,94989.0,16.52,1
VA20240100075,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18152.0,586920.0,480000,106920.0,18.22,1
VA20240100076,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18209.0,588755.0,480000,108755.0,18.47,1
VA20240100077,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18076.0,584467.0,480000,104467.0,17.87,1
VA20240100078,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18307.0,591924.0,480000,111924.0,18.91,1
VA20240100079,04-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18109.0,585517.0,480000,105517.0,18.02,1
VA20240100080,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18299.0,591660.0,480000,111660.0,18.87,1
VA20240100081,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18252.0,590149.0,480000,110149.0,18.66,1
VA20240100082,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17964.0,580823.0,480000,100823.0,17.36,1
VA20240100083,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17709.0,572581.0,480000,92581.0,16.17,1
VA20240100084,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17907.0,578993.0,480000,98993.0,17.1,1
VA20240100085,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18122.0,585931.0,480000,105931.0,18.08,1
VA20240100086,27-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18119.0,585863.0,480000,105863.0,18.07,1
VA20240100087,20-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18066.0,584125.0,480000,104125.0,17.83,1
VA20240100088,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17838.0,576756.0,480000,96756.0,16.78,1
VA20240100089,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18044.0,583426.0,480000,103426.0,17.73,1
VA20240100090,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17916.0,579275.0,480000,99275.0,17.14,1
VA20240100091,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18340.0,592981.0,480000,112981.0,19.05,1
VA20240100092,11-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18251.0,590123.0,480000,110123.0,18.66,1
VA20240100093,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18160.0,587162.0,480000,107162.0,18.25,1
VA20240100094,12-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17810.0,575854.0,480000,95854.0,16.65,1
VA20240100095,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17824.0,576321.0,480000,96321.0,16.71,1
VA20240100096,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17669.0,571301.0,480000,91301.0,15.98,1
VA20240100097,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18152.0,586904.0,480000,106904.0,18.21,1
VA20240100098,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17720.0,572942.0,480000,92942.0,16.22,1
VA20240100099,27-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17956.0,580588.0,480000,100588.0,17.33,1
VA20240100100,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17785.0,575056.0,480000,95056.0,16.53,1
VA20240100101,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18285.0,591213.0,480000,111213.0,18.81,1
VA20240100102,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17982.0,581427.0,480000,101427.0,17.44,1
VA20240100103,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18046.0,583473.0,480000,103473.0,17.73,1
VA20240100104,09-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18141.0,586552.0,480000,106552.0,18.17,1
VA20240100105,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17740.0,573604.0,480000,93604.0,16.32,1
VA20240100106,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18075.0,584431.0,480000,104431.0,17.87,1
VA20240100107,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18029.0,582928.0,480000,102928.0,17.66,1
VA20240100108,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17786.0,575087.0,480000,95087.0,16.53,1
VA20240100109,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18319.0,592310.0,480000,112310.0,18.96,1
VA20240100110,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18071.0,584302.0,480000,104302.0,17.85,1
VA20240100111,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18140.0,586535.0,480000,106535.0,18.16,1
VA20240100112,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18274.0,590857.0,480000,110857.0,18.76,1
VA20240100113,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18090.0,584895.0,480000,104895.0,17.93,1
VA20240100114,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17853.0,577242.0,480000,97242.0,16.85,1
VA20240100115,18-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17716.0,572816.0,480000,92816.0,16.2,1
VA20240100116,19-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17969.0,580988.0,480000,100988.0,17.38,1
VA20240100117,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17797.0,575445.0,480000,95445.0,16.59,1
VA20240100118,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17940.0,580056.0,480000,100056.0,17.25,1
VA20240100119,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18276.0,590923.0,480000,110923.0,18.77,1
VA20240100120,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17874.0,577911.0,480000,97911.0,16.94,1
VA20240100121,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17728.0,573202.0,480000,93202.0,16.26,1
VA20240100122,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17897.0,578655.0,480000,98655.0,17.05,1
VA20240100123,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18293.0,591471.0,480000,111471.0,18.85,1
VA20240100124,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17836.0,576695.0,480000,96695.0,16.77,1
VA20240100125,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18106.0,585438.0,480000,105438.0,18.01,1
VA20240100126,19-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17640.0,570372.0,480000,90372.0,15.84,1
VA20240100127,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17894.0,578568.0,480000,98568.0,17.04,1
VA20240100128,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17859.0,577455.0,480000,97455.0,16.88,1
VA20240100129,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17759.0,574193.0,480000,94193.0,16.4,1
VA20240100130,04-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18025.0,582794.0,480000,102794.0,17.64,1
VA20240100131,12-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17989.0,581647.0,480000,101647.0,17.48,1
VA20240100132,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18139.0,586480.0,480000,106480.0,18.16,1
VA20240100133,28-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17834.0,576632.0,480000,96632.0,16.76,1
VA20240100134,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17816.0,576043.0,480000,96043.0,16.67,1
VA20240100135,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17761.0,574278.0,480000,94278.0,16.42,1
VA20240100136,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17798.0,575453.0,480000,95453.0,16.59,1
VA20240100137,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18042.0,583353.0,480000,103353.0,17.72,1
VA20240100138,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17931.0,579761.0,480000,99761.0,17.21,1
VA20240100139,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17687.0,571871.0,480000,91871.0,16.06,1
VA20240100140,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17823.0,576271.0,480000,96271.0,16.71,1
VA20240100141,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17818.0,576107.0,480000,96107.0,16.68,1
VA20240100142,09-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18141.0,586570.0,480000,106570.0,18.17,1
VA20240100143,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18153.0,586942.0,480000,106942.0,18.22,1
VA20240100144,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17747.0,573807.0,480000,93807.0,16.35,1
VA20240100145,04-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18358.0,593587.0,480000,113587.0,19.14,1
VA20240100146,21-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17832.0,576571.0,480000,96571.0,16.75,1
VA20240100147,27-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18343.0,593096.0,480000,113096.0,19.07,1
VA20240100148,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17936.0,579929.0,480000,99929.0,17.23,1
VA20240100149,06-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17664.0,571129.0,480000,91129.0,15.96,1
VA20240100150,16-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17888.0,578393.0,480000,98393.0,17.01,1
VA20240100151,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18097.0,585128.0,480000,105128.0,17.97,1
VA20240100152,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18130.0,586207.0,480000,106207.0,18.12,1
VA20240100153,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18022.0,582720.0,480000,102720.0,17.63,1
VA20240100154,13-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17962.0,580784.0,480000,100784.0,17.35,1
VA20240100155,26-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18038.0,583231.0,480000,103231.0,17.7,1
VA20240100156,10-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,18067.0,584158.0,480000,104158.0,17.83,1
VA20240100157,23-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17698.0,572242.0,480000,92242.0,16.12,1
VA20240100158,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17906.0,578966.0,480000,98966.0,17.09,1
VA20240100159,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17814.0,575997.0,480000,95997.0,16.67,1
VA20240100160,10-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18218.0,589057.0,480000,109057.0,18.51,1
VA20240100161,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17979.0,581309.0,480000,101309.0,17.43,1
VA20240100162,24-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18348.0,593254.0,480000,113254.0,19.09,1
VA20240100163,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17927.0,579645.0,480000,99645.0,17.19,1
VA20240100164,02-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,18228.0,589367.0,480000,109367.0,18.56,1
VA20240100165,19-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18215.0,588945.0,480000,108945.0,18.5,1
VA20240100166,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Lucknow Motors,600000.0,17749.0,573869.0,480000,93869.0,16.36,1
VA20240100167,06-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18006.0,582191.0,480000,102191.0,17.55,1
VA20240100168,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18141.0,586559.0,480000,106559.0,18.17,1
